aircraftid,timeid,FH,FC,DM,value,label
XY-AZQ,2010-11-17,5.850000000000000000,3.000000000000000000,69.000000000000000000,25.6473909483814,0
XY-AZQ,2011-06-17,0.566666666666667000,1.000000000000000000,26.000000000000000000,31.44743358218066,0
XY-AZQ,2012-03-08,1.883333333333330000,1.000000000000000000,7.000000000000000000,23.165312710682606,0
XY-AZQ,2012-05-05,3.633333333333330000,1.000000000000000000,22.000000000000000000,28.858430363022368,0
XY-AZQ,2015-10-05,1.833333333333330000,1.000000000000000000,10.000000000000000000,61.678907879492215,0
XY-AZQ,2015-10-06,0.516666666666667000,1.000000000000000000,29.000000000000000000,64.6704863657839,1
XY-AZQ,2015-10-08,1.983333333333330000,1.000000000000000000,1.000000000000000000,63.84048476170168,1
XY-AZQ,2015-10-11,4.233333333333330000,2.000000000000000000,46.000000000000000000,59.987848895937624,1
XY-AZQ,2015-10-12,3.416666666666670000,1.000000000000000000,35.000000000000000000,60.859109003553016,1
XY-AZQ,2015-11-28,3.800000000000000000,1.000000000000000000,12.000000000000000000,27.974783974969267,0
XY-AZQ,2016-06-07,1.666666666666670000,1.000000000000000000,20.000000000000000000,64.74953569040233,1
XY-AZQ,2016-06-10,0.900000000000000000,1.000000000000000000,6.000000000000000000,61.68516212851264,1
XY-AZQ,2016-06-13,0.533333333333333000,1.000000000000000000,28.000000000000000000,67.6362602537938,1
XY-AZQ,2016-07-29,0.633333333333333000,1.000000000000000000,22.000000000000000000,23.83987854734863,0
XY-AZQ,2016-09-10,3.950000000000000000,1.000000000000000000,3.000000000000000000,26.158751068737516,0
XY-BDC,2010-02-26,4.866666666666670000,2.000000000000000000,8.000000000000000000,64.1163092359453,1
XY-BDC,2010-02-28,0.383333333333333000,1.000000000000000000,37.000000000000000000,64.64956621885463,1
XY-BDC,2010-09-12,2.750000000000000000,1.000000000000000000,15.000000000000000000,26.527627910939202,0
XY-BDC,2010-09-23,2.483333333333330000,1.000000000000000000,31.000000000000000000,27.45931644722197,0
XY-BDC,2012-05-02,4.466666666666670000,2.000000000000000000,32.000000000000000000,60.91692301189705,1
XY-BDC,2012-05-03,0.950000000000000000,1.000000000000000000,3.000000000000000000,63.16386878869665,1
XY-BDC,2012-05-04,1.550000000000000000,1.000000000000000000,27.000000000000000000,59.987848895937624,1
XY-BDC,2012-11-12,5.116666666666670000,3.000000000000000000,53.000000000000000000,24.049956658086057,0
XY-BDC,2013-03-12,1.533333333333330000,1.000000000000000000,28.000000000000000000,62.911646736669496,1
XY-BDC,2013-07-27,0.433333333333333000,1.000000000000000000,34.000000000000000000,62.806520269356604,1
XY-BDC,2013-07-31,0.383333333333333000,1.000000000000000000,37.000000000000000000,65.80251083608015,1
XY-BDC,2013-08-01,3.550000000000000000,1.000000000000000000,27.000000000000000000,61.832595652763025,1
XY-BDC,2013-09-20,3.550000000000000000,1.000000000000000000,27.000000000000000000,26.962349205343905,0
XY-BDC,2014-07-24,0.583333333333333000,1.000000000000000000,25.000000000000000000,28.306501584507643,0
XY-BDC,2014-11-04,4.566666666666670000,2.000000000000000000,26.000000000000000000,29.985507696386744,0
XY-BDC,2014-12-03,3.650000000000000000,1.000000000000000000,21.000000000000000000,26.788545333765786,0
XY-BDC,2015-10-11,1.366666666666670000,1.000000000000000000,38.000000000000000000,23.277394787655858,0
XY-BDC,2015-11-28,3.650000000000000000,1.000000000000000000,21.000000000000000000,24.69133361901148,0
XY-BDC,2016-07-29,4.383333333333330000,2.000000000000000000,37.000000000000000000,28.71763067981153,0
XY-BDC,2016-09-10,0.983333333333333000,1.000000000000000000,1.000000000000000000,25.023198389999227,0
XY-FFT,2012-05-05,7.033333333333330000,4.000000000000000000,58.000000000000000000,26.537468692577228,0
XY-FFT,2012-06-19,1.566666666666670000,1.000000000000000000,26.000000000000000000,29.433888216066592,0
XY-FFT,2013-03-19,0.783333333333333000,1.000000000000000000,13.000000000000000000,29.527657200113094,0
XY-FFT,2014-07-20,2.866666666666670000,1.000000000000000000,8.000000000000000000,62.854037379349016,1
XY-FFT,2014-07-22,2.483333333333330000,1.000000000000000000,31.000000000000000000,62.3673209404469,1
XY-FFT,2014-07-25,5.683333333333330000,3.000000000000000000,79.000000000000000000,63.90737259759438,1
XY-FFT,2014-11-04,0.916666666666667000,1.000000000000000000,5.000000000000000000,26.883065814579723,0
XY-FFT,2014-12-03,3.583333333333330000,1.000000000000000000,25.000000000000000000,28.447132126567126,0
XY-FFT,2014-12-04,6.716666666666670000,2.000000000000000000,17.000000000000000000,26.506906554967614,0
XY-FFT,2015-06-01,5.133333333333330000,2.000000000000000000,52.000000000000000000,28.489295448135103,0
XY-FFT,2015-07-17,2.816666666666670000,1.000000000000000000,11.000000000000000000,26.60736018432592,0
XY-FFT,2015-10-24,3.400000000000000000,1.000000000000000000,36.000000000000000000,23.382293429341164,0
XY-FFT,2015-11-28,3.850000000000000000,1.000000000000000000,9.000000000000000000,25.028951611720174,0
XY-FFT,2016-07-29,1.666666666666670000,1.000000000000000000,20.000000000000000000,26.48325534458731,0
XY-FFT,2016-07-30,4.950000000000000000,2.000000000000000000,63.000000000000000000,27.018201689639195,0
XY-GOJ,2012-09-11,7.033333333333330000,3.000000000000000000,58.000000000000000000,60.17104162836605,1
XY-GOJ,2012-09-12,3.600000000000000000,1.000000000000000000,24.000000000000000000,60.987928241609566,1
